,lt_lpips,dct_lpips,lt_compression_ratio,dct_compression_ratio,winner
10.png,0.3491722345352173,0.7497403025627136,0.014450774521747775,0.01394695204250307,Lapped Transform
20.png,0.5058996677398682,0.8106576800346375,0.018468430051455747,0.013550284082832787,Lapped Transform
22.png,0.47735559940338135,0.7923414707183838,0.01265723606421927,0.01037366269213784,Lapped Transform
18.png,0.4435770809650421,0.6985281705856323,0.013413202176332068,0.012582159864881997,Lapped Transform
1.png,0.3871929943561554,0.7461099028587341,0.015076693717999025,0.013094347461850018,Lapped Transform
14.png,0.4978816509246826,0.7505602836608887,0.016017023956914248,0.014211190102296876,Lapped Transform
11.png,0.3816453814506531,0.7145965099334717,0.014471283672263345,0.013817523666595279,Lapped Transform
5.png,0.3941228985786438,0.7197324633598328,0.017574878120186863,0.015441504054174464,Lapped Transform
17.png,0.3346315026283264,0.7084053754806519,0.016218828789625266,0.01568567527795402,Lapped Transform
12.png,0.3457092344760895,0.6880195140838623,0.014969191599626383,0.010472219711350147,Lapped Transform
6.png,0.4362356662750244,0.6579096913337708,0.016837948878681785,0.012141353466061565,Lapped Transform
16.png,0.3274855315685272,0.6295199394226074,0.015146552062997079,0.012814297506584034,Lapped Transform
23.png,0.5269387364387512,0.827538013458252,0.01330712558913622,0.01024935616467837,Lapped Transform
19.png,0.3662520945072174,0.7845638990402222,0.013584997825685504,0.013552234182606676,Lapped Transform
7.png,0.4020105004310608,0.7945829629898071,0.017200461928019748,0.01447056621498017,Lapped Transform
9.png,0.3065447211265564,0.7777538299560547,0.01340884098274315,0.013570103911655364,Lapped Transform
3.png,0.41331949830055237,0.7410509586334229,0.014748810868423983,0.012273110513673025,Lapped Transform
8.png,0.392314612865448,0.8057962656021118,0.018436972871510648,0.014400040584930308,Lapped Transform
4.png,0.43500247597694397,0.7838960886001587,0.012388772449453432,0.009856737659860188,Lapped Transform
2.png,0.4879758059978485,0.7468412518501282,0.010239565045024636,0.009406224969457682,Lapped Transform
13.png,0.46084070205688477,0.8252497911453247,0.015935102441680685,0.013693734867122396,Lapped Transform
15.png,0.5082619190216064,0.7842555642127991,0.016889167491046096,0.010454110633351943,Lapped Transform
24.png,0.42412906885147095,0.7520067691802979,0.01657566495893952,0.01373448641486303,Lapped Transform
21.png,0.4275253415107727,0.8018516302108765,0.015140075127423078,0.015289199765795831,Lapped Transform
