,lt_lpips,dct_lpips,lt_compression_ratio,dct_compression_ratio,winner
6.tif,0.39767417311668396,0.7821753025054932,0.0325669429020527,0.02473097277639815,Lapped Transform
8.tif,0.2551637887954712,0.759185791015625,0.04004470888799247,0.025797252476356954,Lapped Transform
4.tif,0.2564495801925659,0.8103553056716919,0.12388387849418944,0.14563422623053798,Lapped Transform
1.tif,0.1662183403968811,0.23750180006027222,0.04015063309561927,0.02894411293843691,Lapped Transform
7.tif,0.539958655834198,0.5916422605514526,0.02686588785135797,0.006188970404637058,Lapped Transform
9.tif,0.1750480681657791,0.6866681575775146,0.018287281990985695,0.01619047619047619,Lapped Transform
10.tif,0.28847551345825195,0.7208842039108276,0.03266071121609857,0.028809630750974553,Lapped Transform
5.tif,0.2175380438566208,0.7728787660598755,0.02963311710957662,0.023488177442979704,Lapped Transform
2.tif,0.13900527358055115,0.1675495058298111,11.101866251944012,10.43234836702955,Lapped Transform
3.tif,0.1416214257478714,0.7072974443435669,0.02754811771164307,0.01996517669500219,Lapped Transform
